Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Value,CLTV,Avg Monthly Spend,Charge to CLTV Ratio,Total Services,Is Month to Month,Is Electronic Check,Is Fiber Optic,Is Senior,No Tech Support,No Online Security,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Tenure Group_Developing,Tenure Group_Established,Tenure Group_Loyal,Tenure Group_New,Value Segment_High Value,Value Segment_Low Value,Value Segment_Medium Value
0,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,3239,36.050000000000004,0.016625501698054955,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,1,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,2701,50.550000000000004,0.026175490559052203,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,1,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,5372,91.16666666666667,0.018549888309754282,5,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,1,1,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,5003,105.03620689655173,0.020947431541075354,6,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,5340,100.726,0.01941947565543071,6,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,5925,48.03181818181818,0.009316455696202533,3,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,5433,19.825,0.007297993741947359,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,4832,10.075,0.004170115894039735,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,5789,98.940625,0.017161858697529796,5,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,2915,15.1,0.010360205831903944,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,3022,60.727777777777774,0.021409662475182,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,2454,52.81666666666666,0.028402607986960066,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,1,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,2941,101.40714285714286,0.03616116967018021,6,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,5674,92.11666666666667,0.017245329573493125,5,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
0,0,0,1,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,5586,48.050000000000004,0.014437880415324025,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0,0,1,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,2966,89.15,0.033412002697235335,5,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,1,1,1,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,5302,70.36666666666666,0.01521124104111656,3,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,1,0,1,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,3179,92.23947368421052,0.030025165146272414,4,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,5571,85.725,0.016944893196912583,4,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,2483,39.675,0.0319573097060008,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,1,1,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,3457,62.1125,0.021738501590974835,2,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,1,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,5806,71.33461538461539,0.01359800206682742,3,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,2604,18.974999999999998,0.008083717357910906,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
0,1,1,1,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,5337,96.71153846153847,0.018456061457747797,5,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,5034,110.31666666666668,0.02185141040921732,7,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
0,0,1,1,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,5154,93.55178571428571,0.018771827706635623,5,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,1,1,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,2793,75.47763157894737,0.027389903329752954,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,5998,96.78636363636365,0.016713904634878294,5,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
